people;(kansa)
history;(historia)
way;(tie)
art;(taide)
world;(maailma)
information;(informaatio)
map;(kartta)
two;(kaksi)
family;(perhe)
government;(hallitus)
health;(terveys)
system;(järjestelmä)
computer;(tietokone)
meat;(liha)
year;(vuosi)
thanks;(kiitos)
music;(musiikki)
person;(henkilö)
reading;(lukeminen)
method;(menetelmä)
data;(data)
food;(ruoka)
understanding;(ymmärrys)
theory;(teoria)
law;(laki)
bird;(lintu)
literature;(kirjallisuus)
problem;(ongelma)
software;(ohjelmisto)
control;(hallinta)
knowledge;(tieto)
power;(valta)
ability;(kyky)
economics;(taloustiede)
love;(rakkaus)
internet;(internet)
television;(televisio)
science;(tiede)
library;(kirjasto)
nature;(luonto)
fact;(tosiasia)
product;(tuote)
idea;(idea)
temperature;(lämpötila)
investment;(investointi)
area;(alue)
society;(yhteiskunta)
activity;(aktiviteetti)
story;(tarina)
industry;(teollisuus)
media;(media)
thing;(asia)
oven;(uuni)
community;(yhteisö)
definition;(määritelmä)
safety;(turvallisuus)
quality;(laatu)
development;(kehitys)
language;(kieli)
management;(johtaminen)
player;(pelaaja)
variety;(laji)
video;(video)
week;(viikko)
security;(arvopaperi)
country;(maa)
exam;(koe)
movie;(elokuva)
organization;(organisaatio)
equipment;(varusteet)
physics;(fysiikka)
analysis;(analyysi)
policy;(politiikka)
series;(sarja)
thought;(ajatus)
basis;(perusta)
boyfriend;(poikaystävä)
direction;(suunta)
strategy;(strategia)
technology;(tekniikka)
army;(armeija)
camera;(kamera)
freedom;(vapaus)
paper;(paperi)
environment;(ympäristö)
child;(lapsi)
instance;(esimerkki)
month;(kuukausi)
truth;(totuus)
marketing;(markkinointi)
university;(yliopisto)
writing;(kirjoittaminen)
article;(artikkeli)
department;(osasto)
difference;(ero)
goal;(tavoite)
news;(uutinen)
audience;(audienssi)
fishing;(kalastus)
growth;(kasvu)
income;(tulot)
marriage;(avioliitto)
user;(käyttäjä)
combination;(yhdistelmä)
failure;(epäonnistuminen)
